True	2	3	Rataje	38
True	3	7	Wilda	20
True	4	4	Piątkowo	73
False	3	2	Stare	78
True	3	1	Nowe	56
False	2	0	Rataje	71
True	4	1	Szczepankowo	60
False	3	8	Winogrady	20
False	2	1	Stare	87
True	2	3	Rataje	60
True	3	2	Wilda	30
False	2	3	Podolany	76
True	2	13	Rataje	49
False	3	13	Grunwald	20
True	2	2	Piątkowo	50
True	3	4	Stare	65
True	4	1	Grunwald	34
True	2	0	Grunwald	50
True	3	1	Dębiec	57
False	4	4	Grunwald	20
True	2	9	Rataje	49
True	2	0	Rataje	46
False	3	2	Winogrady	27
True	2	3	Jeżyce	55
True	2	4	Winogrady	48
False	3	1	Starołęka	65
True	3	1	Umultowo	84
True	3	1	Stare	80
False	3	4	Grunwald	44
True	2	9	Rataje	49
True	2	0	Rataje	46
False	2	3	Podolany	74
True	4	0	Winogrady	90
True	2	5	Centrum	60
True	4	5	Centrum	65
True	2	10	Śródka	48
True	4	1	Górczyn	160
True	2	4	Wilda	35
False	4	5	Centrum	23
False	2	0	Winogrady	79
True	2	0	Stare	38
True	5	0	Nowe	71
True	4	1	Centrum	138
False	2	11	Grunwald	80
True	2	0	Naramowice	43
True	2	4	Grunwald	20
True	3	4	Rataje	79
True	4	1	Grunwald	133
True	3	2	Grunwald	49
True	3	5	Grunwald	74
False	3	2	Stare	62
False	3	6	Jeżyce	96
True	6	1	Piątkowo	40
False	2	4	Naramowice	82
True	2	2	Piątkowo	44
False	2	3	Głuszyna	45
True	4	4	Piątkowo	76
True	3	0	Naramowice	83
True	3	1	Naramowice	51
True	3	5	Grunwald	58
True	2	2	Nowe	93
True	3	1	Rataje	64
False	3	11	Grunwald	85
True	2	4	Grunwald	76
True	2	6	Winogrady	62
True	3	3	Stare	70
False	2	15	Grunwald	62
True	2	0	Świerczewo	60
True	3	3	Umultowo	56
True	3	4	Rataje	48
True	2	1	Naramowice	62
True	2	0	Winogrady	70
True	3	3	Stare	50
True	3	0	Wilda	67
True	3	4	Rataje	48
True	3	4	Rataje	63
True	2	1	Jeżyce	50
True	2	4	Wilda	35
False	2	9	Grunwald	38
False	2	1	Winogrady	46
True	3	1	Junikowo	84
False	3	1	Stare	78
True	3	3	Grunwald	21
False	3	3	Centrum	62
True	2	0	Grunwald	66
True	4	4	Grunwald	134
False	3	3	Winogrady	17
False	2	4	Jeżyce	68
True	3	0	Wilda	72
True	2	1	Grunwald	100
False	3	0	Nowe	81
True	2	4	Górczyn	50
True	2	3	Grunwald	51
True	4	0	Sołacz	90
True	3	1	Rataje	70
False	2	13	Grunwald	80
True	2	7	Piątkowo	90
True	2	4	Winogrady	42
True	3	9	Bonin	48
True	2	4	Wilda	52
True	3	9	Grunwald	53
True	2	6	Winiary	49
False	3	15	Grunwald	20
True	2	3	Piątkowo	57
True	4	1	Centrum	28
True	4	2	Centrum	90
True	2	3	Stare	20
True	2	15	Grunwald	62
False	2	3	Rataje	74
False	4	2	Grunwald	20
True	3	3	Winiary	55
True	2	3	Stare	42
True	2	3	Winogrady	50
True	3	2	Wilda	35
True	4	1	Winogrady	63
True	3	2	Jeżyce	74
True	3	1	Rataje	67
True	2	0	Piątkowo	48
True	2	2	Dębiec	48
True	3	11	Grunwald	57
True	4	4	Piątkowo	76
False	2	4	Centrum	21
False	2	5	Winogrady	21
False	3	3	Winogrady	42
True	2	0	Rataje	70
False	3	1	Starołęka	97
True	3	2	Nowe	14
True	3	1	Górczyn	82
True	3	0	Naramowice	59
True	2	1	Naramowice	62
True	3	3	Jeżyce	49
False	3	6	Grunwald	21
False	3	4	Winogrady	67
True	3	0	Naramowice	59
True	2	1	Naramowice	46
True	2	2	Wilda	13
True	2	0	Grunwald	80
True	3	0	Winogrady	80
True	3	0	Rataje	50
False	2	0	Rataje	57
True	3	0	Naramowice	71
False	2	1	Grunwald	15
False	3	1	Grunwald	79
True	2	14	Piątkowo	49
False	3	2	Rataje	41
True	4	0	Strzeszyn	94
True	4	1	Winogrady	63
True	2	3	Żegrze	49
True	4	2	Grunwald	70
False	2	4	Winogrady	54
